em,sector,units,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
CH4,2D_Degreasing-Cleaning,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2D_Other-product-use,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2D_Paint-application,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2H_Pulp-and-paper-food-beverage-wood,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2L_Other-process-emissions,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,3B_Manure-management,ktCH4,8617.279772,8614.953768,8615.162976,8725.539582,8750.243037,8854.3669,8828.70835,8877.263685,8949.941495,8939.53641,8896.733678,8741.303322,8723.32983,8847.073924,8870.80426,8804.147289,8833.932058,8963.366165,8972.641399,9008.600385,9128.415178,9221.64364,9323.909916,9301.92514,9486.826582,9584.6332,9876.531684,9786.581114,9840.895479,9948.491586,10001.39989,10054.99674,10003.72156,10085.14343,10230.56104,10278.48197,10317.22589,10399.78899,10399.78908
CH4,3D_Rice-Cultivation,ktCH4,22197.71731,21640.89866,21612.81367,21949.13045,21868.36959,21865.64387,21440.86561,22178.66267,22596.75554,22384.87334,22307.08606,22441.01386,22210.14171,22423.73023,22889.81887,23175.34653,23184.62551,23127.52311,24026.14553,23683.44005,23177.28806,22786.11451,22651.23332,23136.00744,23766.6597,23841.51191,23919.52552,24501.7015,24506.07445,25012.859,25067.16153,25058.14312,25317.19294,25247.74068,25261.06793,25148.64754,25112.84981,25126.24977,25126.24977
CH4,3D_Soil-emissions,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,3E_Enteric-fermentation,ktCH4,83043.49655,83998.23137,84511.44872,85001.89217,85370.16316,86059.20186,86134.4649,86630.83474,87814.99512,88369.0361,88230.67031,87898.33372,86562.57863,87220.25743,87394.35896,86888.82946,86465.41872,86209.02092,86443.92451,86813.07681,87456.98548,88264.69552,89918.78095,91319.58186,92706.29707,93704.96243,94915.67307,95443.97014,95885.15422,95945.44907,96222.54468,95229.54814,95653.94868,96514.62737,96528.94513,96724.42905,97063.31938,97165.25392,97165.25577
CH4,3I_Agriculture-other,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,5A_Solid-waste-disposal,ktCH4,29593.21628,29980.16907,30313.0592,30673.868,31022.97394,31479.64207,31893.70422,32313.1935,32748.79088,32761.20076,33508.80804,33889.27892,34477.9507,34747.27885,34885.11613,35640.56068,36028.87072,35533.04358,35325.83542,35301.30998,34688.87944,34403.65748,35030.02858,35570.87343,35421.55439,36559.01298,36790.03038,36331.93512,35781.24696,36903.36552,37740.30124,37368.90054,37460.69849,37824.4145,38408.72521,38631.063,38928.3588,39314.98858,39632.71352
CH4,5C_Waste-combustion,ktCH4,451.4740761,471.1146357,490.8415123,509.882795,530.9647302,553.1279879,575.0167317,597.5480602,620.4592153,646.108622,674.4995249,701.0935987,736.4380098,766.1596032,801.0507585,867.9351,899.010908,932.4953909,958.3515536,975.0952787,1025.237317,1056.761841,1100.19593,1145.752808,1190.627505,1231.762942,1273.029403,1314.388531,1356.466308,1401.236575,1440.615775,1481.779237,1521.0824,1561.817774,1561.627266,1560.641258,1560.340021,1560.80698,1560.80698
CH4,5D_Wastewater-handling,ktCH4,21884.17956,22294.19127,22857.57003,23465.28348,23977.81395,24485.95546,25116.41315,25708.01609,26304.18714,26656.33448,26925.35296,27200.26605,27502.15798,27984.02345,28591.31649,28898.3885,29472.42803,29791.33177,30349.73724,30936.16268,31438.01199,32120.86279,32716.49732,33482.78765,33859.32635,34424.0444,35211.78438,35933.03427,36165.62592,37182.86152,37856.75943,38381.81479,39041.47928,39665.15647,39720.56511,40126.17717,40552.5738,41002.98136,41429.39822
CH4,5E_Other-waste-handling,ktCH4,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,74.21326562,80.82886538,93.4575632,112.4559594,128.7374277,145.201062,158.2216785,166.402309,182.7557591,200.5301833,212.839199,227.3537218,239.7577888,251.0534806,252.881725,255.8463327,261.4783623,261.548588,266.6695674,284.0598232,287.2543455,301.6371817,302.9845368,305.6407809,310.7950478,309.2708186,309.8358797,312.795572,314.2580261
CH4,6A_Other-in-total,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,6B_Other-not-in-total,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,7A_Fossil-fuel-fires,ktCH4,148.98,149.34,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,169.4748,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,151.6688504,152.7127247,153.7239646,154.6930346
CH4,7BC_Indirect-N2O-non-agricultural-N,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
